"Date","Open","High","Low","Close","Adj.Close","Volume","MA_20","MA_50","Daily_Return","Lag_1_Close","Lag_5_Close","Volatility_20"
2020-04-06,365.220001,380.290009,361.709991,379.959991,379.959991,8183900,348.34749755,360.439398759999,18.199981,361.76001,370.959991,22.9943744280119
2020-04-07,380,381.329987,369.339996,372.279999,372.279999,7046400,348.75499725,361.027398639999,-7.67999200000003,379.959991,375.5,23.3581269701411
2020-04-08,374.01001,378.390015,368.309998,371.119995,371.119995,6908900,349.81499635,361.479398759999,-1.16000399999996,372.279999,364.079987,23.8887814634172
2020-04-09,371.059998,372.100006,363.029999,370.720001,370.720001,7711300,352.5884964,362.030598699999,-0.399993999999992,371.119995,370.079987,22.8625618039224
2020-04-13,371.309998,400.51001,367.700012,396.720001,396.720001,11692900,355.60949705,363.010198919999,26,370.720001,361.76001,24.528161265587
2020-04-14,397.5,417.820007,394.850006,413.549988,413.549988,11581000,361.34499665,364.379398759999,16.829987,396.720001,379.959991,23.9598220000101
2020-04-15,413,434.980011,412.25,426.75,426.75,13561200,366.69499665,365.754398759999,13.200012,413.549988,372.279999,26.0390486648835
2020-04-16,437,449.519989,431.609985,439.170013,439.170013,16128700,372.87999725,367.157598819999,12.420013,426.75,371.119995,27.8588096424788
2020-04-17,431,432,414.700012,422.959991,422.959991,12616300,377.42649685,368.223398379999,-16.210022,439.170013,370.720001,28.2582288564257
2020-04-20,435.170013,444.48999,430.559998,437.48999,437.48999,12655800,382.659497,369.634197939999,14.529999,422.959991,396.720001,29.2386830748883
2020-04-21,444.769989,447,425.600006,433.829987,433.829987,23177600,386.3374969,370.975397899999,-3.66000299999996,437.48999,413.549988,30.8559356093097
2020-04-22,429.730011,433,413,421.420013,421.420013,21084800,389.5424972,371.982398019999,-12.409974,433.829987,426.75,31.0118942899262
2020-04-23,419.26001,438.410004,419.26001,426.700012,426.700012,13952300,393.75799705,373.042598219999,5.27999900000003,421.420013,439.170013,29.9780004514939
2020-04-24,425,427.170013,415.880005,424.98999,424.98999,8658900,396.85799705,373.942197819999,-1.71002200000004,426.700012,422.959991,29.8341881211591
2020-04-27,425,429,420.839996,421.380005,421.380005,6277500,400.07099755,374.741798039999,-3.60998499999999,424.98999,437.48999,28.7706442666457
2020-04-28,419.98999,421,402.910004,403.829987,403.829987,10101200,401.71449735,375.210397899999,-17.550018,421.380005,433.829987,27.947231221789
2020-04-29,399.529999,415.859985,393.600006,411.890015,411.890015,9693100,403.5339981,375.692598219999,8.06002799999999,403.829987,421.420013,27.3284472519657
2020-04-30,410.309998,424.440002,408,419.850006,419.850006,7954000,406.32249905,376.365798299999,7.959991,411.890015,426.700012,25.8987044238214
2020-05-01,415.100006,427.970001,411.730011,415.269989,415.269989,8299900,408.58199915,376.951198079999,-4.580017,419.850006,424.98999,24.5040770060926
2020-05-04,417.779999,428.540009,414.869995,428.149994,428.149994,7799100,411.90149835,377.912797819999,12.880005,415.269989,421.380005,22.2175514594356
2020-05-05,427.559998,431,421.559998,424.679993,424.679993,6286300,414.13749845,379.032397439999,-3.47000099999997,428.149994,403.829987,21.0535762295134
2020-05-06,429.299988,439.769989,426.390015,434.26001,434.26001,6660700,417.236499,380.515797719999,9.580017,424.679993,411.890015,19.0326554439052
2020-05-07,436.890015,438.880005,430.660004,436.529999,436.529999,5641900,420.5069992,381.661597899999,2.26998899999995,434.26001,419.850006,16.0823231851257
2020-05-08,434.140015,442,433.640015,435.549988,435.549988,5049300,423.74849855,382.938397839999,-0.98001099999999,436.529999,415.269989,11.3591632918676
2020-05-11,436.329987,444.890015,435.559998,440.519989,440.519989,5486000,425.93849795,384.368197639999,4.97000100000002,435.549988,428.149994,10.0168344821133
2020-05-12,442,444.170013,431.359985,431.820007,431.820007,4598200,426.8519989,385.383598019999,-8.69998200000003,440.519989,424.679993,9.65409588017869
2020-05-13,435.690002,447,427.269989,438.269989,438.269989,7014600,427.42799835,386.773598019999,6.44998200000003,431.820007,434.26001,9.98565909805835
2020-05-14,444.899994,452.380005,432.820007,441.950012,441.950012,9007500,427.5669983,387.936798079999,3.68002300000001,438.269989,436.529999,10.1752587385131
2020-05-15,440.700012,455,437.51001,454.190002,454.190002,7244000,429.12849885,389.564998139999,12.23999,441.950012,435.549988,11.7113890764795
2020-05-18,451.160004,456.359985,443.350006,452.579987,452.579987,7773500,429.8829987,391.237197859999,-1.61001499999998,454.190002,440.519989,12.7209905474089
2020-05-19,453.399994,458.970001,450.470001,451.040009,451.040009,4810500,430.7434998,393.328198239999,-1.53997800000002,452.579987,431.820007,13.5566638012261
2020-05-20,454.25,455.809998,444,447.670013,447.670013,5607300,432.0559998,394.998998399999,-3.36999600000001,451.040009,438.269989,13.873499640018
2020-05-21,448.559998,448.959991,430.25,436.25,436.25,9117300,432.5334992,396.725598139999,-11.420013,447.670013,441.950012,13.8437688278001
2020-05-22,437,439.089996,427.179993,429.320007,429.320007,5422300,432.75000005,399.006998279999,-6.92999300000002,436.25,454.190002,13.7531495349856
2020-05-26,427.769989,428.5,413.140015,414.769989,414.769989,7881100,432.41949925,400.576398299999,-14.550018,429.320007,452.579987,14.1154128430161
2020-05-27,410.380005,420.019989,397.859985,419.890015,419.890015,10446300,433.22250065,402.99739868,5.120026,414.769989,451.040009,12.7988162584978
2020-05-28,417.23999,422.369995,411.5,413.440002,413.440002,5655100,433.3,404.87119872,-6.45001300000001,419.890015,447.670013,12.6668577929753
2020-05-29,417.459991,420.299988,411.850006,419.730011,419.730011,5254900,433.29400025,406.956398919999,6.290009,413.440002,436.25,12.673590409571
2020-06-01,418.829987,426.720001,415.980011,425.920013,425.920013,3743700,433.82650145,408.834199199999,6.19000199999999,419.730011,429.320007,12.0865683157724
2020-06-02,425.869995,427.589996,419.459991,427.309998,427.309998,3494800,433.78450165,410.723799419999,1.38998500000002,425.920013,414.769989,12.1087709405094
2020-06-03,426.950012,427.100006,418.049988,421.970001,421.970001,4316000,433.64900205,411.95779966,-5.33999699999998,427.309998,419.890015,12.2305645717339
2020-06-04,422.390015,428.709991,410.029999,414.329987,414.329987,5410500,432.6525009,413.09799926,-7.64001400000001,421.970001,413.440002,12.9678513540457
2020-06-05,407.290009,420.23999,404.25,419.600006,419.600006,5099600,431.80600125,414.64219908,5.27001899999999,414.329987,419.730011,13.2508978931556
2020-06-08,416,420.799988,406.5,419.48999,419.48999,5851500,431.00300135,415.77219908,-0.11001600000003,419.600006,425.920013,13.4964130206585
2020-06-09,421.649994,434.730011,420.309998,434.049988,434.049988,6797000,430.6795013,417.31079894,14.559998,419.48999,427.309998,13.3328406420266
2020-06-10,436,439.690002,430.549988,434.480011,434.480011,4896900,430.8125015,418.58119934,0.430023000000006,434.049988,421.970001,13.35805984138
2020-06-11,428.200012,445.570007,424.160004,425.559998,425.559998,7462900,430.17700195,419.5823993,-8.92001299999998,434.480011,414.329987,13.2867464066854
2020-06-12,429,434.059998,412.450012,418.070007,418.070007,6461100,428.9830017,420.662199699999,-7.48999100000003,425.559998,419.600006,13.2460079399868
2020-06-15,421.399994,426.48999,415.420013,425.5,425.5,4467900,427.5485016,421.770599959999,7.42999300000002,418.070007,419.48999,11.8527376952102
2020-06-16,425.76001,437.959991,425.179993,436.130005,436.130005,5507900,426.7260025,423.257999859999,10.630005,425.5,434.049988,10.5201492646041
2020-06-17,441.820007,450.459991,439.220001,447.769989,447.769989,6529600,426.5625015,424.614199819999,11.639984,436.130005,434.480011,10.1409567560452
2020-06-18,448.730011,452.76001,442.799988,449.869995,449.869995,4277600,426.6725006,426.165999739999,2.10000600000001,447.769989,425.559998,10.3908139849365
2020-06-19,449.119995,453.970001,445.600006,453.720001,453.720001,5934500,427.54600065,427.817999859999,3.85000600000001,449.869995,418.070007,11.8676695413377
2020-06-22,455.01001,468.589996,454.209991,468.040009,468.040009,6272100,429.48200075,429.764400019999,14.320008,453.720001,425.5,14.9343223772439
2020-06-23,466.5,474.01001,464.5,466.26001,466.26001,5948400,432.0565018,431.155200199999,-1.77999899999998,468.040009,436.130005,16.6089121194069
2020-06-24,468.540009,472.359985,454,457.850006,457.850006,4826200,433.95450135,432.041200559999,-8.41000400000001,466.26001,447.769989,17.2999797475365
2020-06-25,458.859985,467.01001,454,465.910004,465.910004,4134500,436.57800145,432.82440064,8.05999800000001,457.850006,449.869995,17.9899841967358
2020-06-26,466.390015,468.029999,442.23999,443.399994,443.399994,6804700,437.7615006,432.90900026,-22.51001,465.910004,453.720001,17.597581311026
2020-06-29,445.230011,447.670013,432.140015,447.23999,447.23999,4844000,438.82749945,433.394600239999,3.83999599999999,443.399994,468.040009,17.4879151562416
2020-06-30,450.019989,457.589996,447,455.040009,455.040009,4198500,440.214,433.74560062,7.80001900000002,447.23999,466.26001,17.625432140251
2020-07-01,454,488.230011,454,485.640015,485.640015,9705900,443.3975007,434.78180118,30.600006,455.040009,457.850006,19.7756457205261
2020-07-02,485.640015,492.279999,475.529999,476.890015,476.890015,6351500,446.5255021,435.89120122,-8.75,485.640015,465.910004,19.8833273397316
2020-07-06,480.769989,499.5,479.799988,493.809998,493.809998,7839000,450.2360017,437.23340094,16.919983,476.890015,443.399994,21.4562866293964
2020-07-07,497.309998,504.820007,490.829987,493.160004,493.160004,5669900,453.9195024,438.59680122,-0.649993999999992,493.809998,447.23999,22.2105494995761
2020-07-08,498.579987,505.100006,493.809998,502.779999,502.779999,5691700,457.35600295,440.2248011,9.61999499999996,493.160004,455.040009,24.2022416070268
2020-07-09,508.399994,510,495.779999,507.76001,507.76001,5840500,461.0200029,442.30340156,4.98001100000005,502.779999,485.640015,26.0343664409191
2020-07-10,519.72998,555.880005,511.279999,548.72998,548.72998,21605600,467.178502,445.04020086,40.9699699999999,507.76001,476.890015,31.2503157000488
2020-07-13,567.97998,575.369995,520.960022,525.5,525.5,18399000,472.55000165,447.15320074,-23.22998,548.72998,493.809998,31.5959316782378
2020-07-14,517.080017,525.5,490.48999,524.880005,524.880005,15083300,477.5190019,449.34540106,-0.619995000000017,525.5,493.160004,31.6216634598211
2020-07-15,516.299988,529,510.179993,523.26001,523.26001,10066700,481.87550215,451.24760138,-1.61999500000002,524.880005,502.779999,31.6213379559874
2020-07-16,526.47998,535.539978,504.359985,527.390015,527.390015,24499000,485.85650345,453.30180182,4.13000499999998,523.26001,507.76001,32.1097531454267
2020-07-17,494.869995,503.589996,484.140015,492.98999,492.98999,24991400,488.0125032,454.476401419999,-34.400025,527.390015,548.72998,30.9945494662
2020-07-20,489.140015,504.5,484.200012,502.410004,502.410004,11940300,490.44700335,455.794001519999,9.42001400000004,492.98999,525.5,30.0572754466007
2020-07-21,506,506.220001,488.609985,490.100006,490.100006,9113700,491.5500032,456.88500188,-12.309998,502.410004,524.880005,29.5929144934904
2020-07-22,492.190002,497.200012,487.200012,489.820007,489.820007,6954100,492.72800305,457.871002239999,-0.279999000000032,490.100006,523.26001,28.9961219131343
2020-07-23,491.130005,491.899994,472.019989,477.579987,477.579987,7722000,493.7145021,458.78620184,-12.24002,489.820007,527.390015,28.0678226880831
2020-07-24,468.769989,487.170013,467.540009,480.450012,480.450012,7746200,494.4415025,459.6298023,2.870025,477.579987,492.98999,27.4921392879491
2020-07-27,484.51001,496.920013,482.309998,495.649994,495.649994,7863100,497.0540025,460.70380194,15.199982,480.450012,502.410004,24.7303973053001
2020-07-28,496.019989,497.790009,487.76001,488.51001,488.51001,5986700,499.1175035,461.3902021,-7.13998399999997,495.649994,490.100006,21.9169025203354
2020-07-29,492.25,494.920013,484.130005,484.480011,484.480011,6611800,500.5895036,462.02820258,-4.02999900000003,488.51001,489.820007,19.6746653620092
2020-07-30,480.709991,488.350006,477.51001,485.799988,485.799988,6608600,500.59750225,462.72340216,1.31997699999999,484.480011,477.579987,19.6682993241019
2020-07-31,488.290009,494.799988,484.5,488.880005,488.880005,5916300,501.19700175,463.547602,3.080017,485.799988,480.450012,19.0816317916799
2020-08-03,490.859985,503.089996,490.230011,498.619995,498.619995,5873100,501.4375016,464.7950019,9.73999000000003,488.880005,495.649994,19.0138192135999
2020-08-04,498.649994,510.440002,498.649994,509.640015,509.640015,5608000,502.26150215,466.40140206,11.02002,498.619995,488.51001,18.9933032825741
2020-08-05,508.679993,510.100006,501.200012,502.109985,502.109985,4308200,502.22800145,468.14820198,-7.53003000000001,509.640015,484.480011,18.992931503198
2020-08-06,504.109985,510.820007,498.700012,509.079987,509.079987,3725900,502.2940003,469.93200142,6.97000200000002,502.109985,485.799988,19.0154465812932
2020-08-07,505.450012,508.290009,486.679993,494.730011,494.730011,5910300,499.59400185,471.5578016,-14.349976,509.079987,488.880005,15.6024135377663
2020-08-10,493.350006,497.459991,478.630005,483.380005,483.380005,4691200,497.4880021,472.83080148,-11.350006,494.730011,498.619995,14.7404547359514
2020-08-11,479.75,480.920013,466.549988,466.929993,466.929993,7329200,494.5905015,473.65100108,-16.450012,483.380005,509.640015,14.7682073411844
2020-08-12,471.339996,482.48999,470.179993,475.470001,475.470001,5439200,492.20100105,474.61420114,8.540008,466.929993,502.109985,13.7139145378929
2020-08-13,478.399994,484.450012,476.450012,481.329987,481.329987,3008900,489.89799965,475.80140086,5.85998599999999,475.470001,509.079987,11.11469752846
2020-08-14,482.820007,488.329987,480.209991,482.679993,482.679993,2943500,489.3824998,477.16840098,1.35000600000001,481.329987,494.730011,11.2024854751592
2020-08-17,484.190002,486.23999,479.100006,482.350006,482.350006,2423500,488.3794999,478.42340098,-0.329987000000017,482.679993,483.380005,10.8677162249624
2020-08-18,484.350006,495.299988,482.799988,491.869995,491.869995,3505500,488.46799935,479.87100108,9.51998900000001,482.350006,466.929993,10.8896489594233
2020-08-19,493.929993,494.5,483.5,484.529999,484.529999,3156200,488.20349895,480.8806013,-7.33999600000004,491.869995,475.470001,10.9192860465683
2020-08-20,484.690002,498.940002,483.890015,497.899994,497.899994,5132500,489.2194993,482.14900096,13.369995,484.529999,481.329987,10.8237147613049
2020-08-21,496.459991,498.130005,490,492.309998,492.309998,3921300,489.8124986,483.48400096,-5.58999599999999,497.899994,482.679993,10.6413234603338
2020-08-24,495.440002,501,483.160004,488.809998,488.809998,4762200,489.4704988,484.89880078,-3.5,492.309998,482.350006,10.5533903567215
2020-08-25,488.190002,492.470001,485.089996,490.579987,490.579987,5727700,489.57399765,486.20040052,1.76998900000001,488.809998,491.869995,10.5536252127621
2020-08-26,492.5,549.039978,492.079987,547.530029,547.530029,20373700,492.72649855,488.428401,56.950042,490.579987,484.529999,16.6233645477482
2020-08-27,537.780029,541,521.25,526.27002,526.27002,9062900,494.75000015,489.99840162,-21.260009,547.530029,497.899994,18.130649881264
2020-08-28,532,539,522,523.890015,523.890015,4417500,496.50050065,491.47880202,-2.3800050000001,526.27002,492.309998,19.1930461908663
